Additive_1,Additive_1_mean_Final GI (%)
Biochar,106.76918684210527
Ca-superphosphate,87.33300000000001
Calcium magnesium phosphate fertilizer,144.767
Clay,114.12588846153845
Ferric salt,90.9897
Gypsum,96.60719999999999
Inorganic acid,89.81389090909092
LB Culture,82.1126
Labile carbon source,91.84075
Lignite,101.83005
Lime,77.24000000000001
Mg(OH)₂,101.45884999999998
MgHPO₄,112.0
MgO,113.83333333333333
MgSO₄,75.60714999999999
Microbiological agent,78.55638235294118
None,89.9937308724832
Organic acid,108.79605833333335
Phosphogypsum,117.49437499999999
Potassium phosphate,86.5252
Sulfur,52.0
Zeolite,80.3735625
