Additive_1,Additive_1_encoded
(NH₄)₂SO₄,0
AOB,1
Al₂(SO₄)₃,2
Apple pomace,3
Artifactitious attapulgite,4
Bean dreg,5
Bentonite,6
Beta-Cyclodextrin,7
Biocahr ,8
Biochar,9
Biochar ,10
Biomass fly ash,11
Ca(H₂PO₄)₂,12
Ca-bentonite,13
CaCl₂,14
CaSO₄,15
Calcium magnesium phosphate fertilizer,16
Calcium superphosphate,17
Carbonatite,18
Citric acid,19
Clay,20
DMPP,21
Diatomite ,22
FeCl₃,23
FeSO₄,24
Ferrous sulfate,25
Forsterite,26
Glucose,27
Gypsum,28
H₂SO₄,29
H₃PO₄,30
KH₂PO₄,31
K₂HPO₄,32
K₂SO₄,33
LB Culture,34
Lignite,35
Lime,36
Mature compost,37
Medcine stone,38
Medicine stone,39
Mg(OH)₂,40
MgCl₂,41
MgHPO₄,42
MgO,43
MgSO₄,44
Microbiological agent,45
Molasses,46
NOB,47
NOB ,48
"NTB(ammonifiers,nitrobacteria,azotobacter)agent",49
NaAc,50
NaH₂PO₄·H₂O,51
NaNO₂,52
NaNO₃,53
NaOH,54
Nitrogen-fixing agents ,55
None,56
Office paper,57
Olive pumice,58
Palygorskite,59
Perlite,60
Phosphate fertilizer,61
Phosphogypsum,62
Pumice,63
Raw attapulgite,64
Red mud,65
Rhamnolipid,66
Rotten apple,67
Rotten apples,68
Sand,69
Sepiolite,70
Sucrose,71
Sugarcane molasses,72
Sulfur,73
Superphosphate,74
TAT,75
"TAT105(a thermophilic,ammonium-tolerant bacterium that grows assimilatingammonium nitrogen and reduces ammoniaemission)",76
Tannin ,77
Urea,78
Vermiculite,79
Vinegar,80
Zeolite,81
Zeolites,82
