Additive_1,Additive_1_mean_TC loss (%)
Apple pomace,17.17
Bean dreg,64.64
Biocahr ,68.47
Biochar,28.91209187810186
Biochar ,33.30284
Biomass fly ash,52.105
Ca(H₂PO₄)₂,58.5
Carbonatite,29.3
Citric acid,18.95
Clay,34.814
Diatomite ,18.5
Gypsum,58.30949999999999
H₃PO₄,45.568
KH₂PO₄,60.6
Lignite,21.61
Mg(OH)₂,50.333333333333336
MgHPO₄,17.15
Microbiological agent,54.13
NaOH,45.76666666666667
None,47.28588668154576
Phosphate fertilizer,54.0
Phosphogypsum,57.103874999999995
Rotten apples,51.95
Sulfur,15.14
Superphosphate,50.282222222222224
Zeolite,51.098525
