Additive_1,Additive_1_mean_TN loss (%)
AOB,47.08
Apple pomace,24.79
Bean dreg,30.01
Bentonite,39.36
Biocahr ,22.73
Biochar,20.19583685957021
Biochar ,13.208580000000001
Biomass fly ash,26.066666666666666
Ca(H₂PO₄)₂,12.595
Calcium magnesium phosphate fertilizer,33.29
Carbonatite,17.5
Citric acid,5.2
Clay,34.822
FeCl₃,10.311926605504585
FeSO₄,7.8999999999999995
Forsterite,6.384
Glucose,38.349999999999994
Gypsum,15.77365266384778
H₂SO₄,17.628
H₃PO₄,16.635833333333334
KH₂PO₄,20.6225
K₂HPO₄,32.42
K₂SO₄,17.299999999999997
LB Culture,41.0
Lignite,11.43
Lime,27.790679599999997
Medcine stone,28.3
Mg(OH)₂,16.720000000000002
MgHPO₄,2.56
MgO,40.5
MgSO₄,10.2
Microbiological agent,23.55
Molasses,14.224029216701986
NOB,13.3
NOB ,38.1071226365638
"NTB(ammonifiers,nitrobacteria,azotobacter)agent",46.333333333333336
NaH₂PO₄·H₂O,15.927028371126594
NaOH,54.67666666666667
None,31.906698054923176
Office paper,18.296789327291084
Olive pumice,70.85333333333334
Perlite,53.0
Phosphate fertilizer,35.7
Phosphogypsum,34.765814285714285
Pumice,26.0
Red mud,11.069
Rhamnolipid,22.86
Rotten apple,46.5
Rotten apples,44.7
Sand,16.362985621550568
Sucrose,28.209090909090904
Sulfur,7.82
Superphosphate,25.551818181818177
TAT,17.599999999999998
"TAT105(a thermophilic,ammonium-tolerant bacterium that grows assimilatingammonium nitrogen and reduces ammoniaemission)",18.5
Tannin ,14.86967213114755
Urea,24.0636
Vermiculite,42.0
Vinegar,41.5
Zeolite,27.765969230769233
