Additive_1,Additive_1_mean_NH3-N loss (%)
Biochar,7.8532750740027035
Ca-superphosphate,14.901200000000001
Calcium magnesium phosphate fertilizer,30.930000000000003
Carbonatite,8.6
Clay,16.229065714285717
Ferric salt,8.9
Forsterite,5.739
Gypsum,3.280495
Inorganic acid,13.993086666666667
K₂SO₄,6.6000000000000005
LB Culture,22.7
Labile carbon source,14.481178489012757
Lignite,7.611555157912789
Lime,16.910276947999996
Mature compost,13.4503
Mg(OH)₂,11.05
MgCl₂,15.0
MgHPO₄,1.57
MgO,12.879
MgSO₄,9.10184812611176
Microbiological agent,12.528472727272726
None,15.603379449950177
Organic acid,9.101205854800936
Phosphogypsum,18.213443154881624
Potassium phosphate,13.75401773686574
Sodium phosphates,14.42026603148413
Sodium salt,12.86
Sulfur,0.8
Urea,33.40653685714286
Zeolite,25.099184235684973
